expertise,interest,about,name
"Robotic autonomy, Vision based robot navigation","Multi-Agent Robotic Path Planning & Control,Flexible Robotic Control & Manipulation","Prior to joining Plaksha, Dr. Tamaskar worked as a Research Scientist & Project Manager in Siemens Corporation, where he led a team of robotics and machine learning engineers to work on complex R&D projects related to advanced manufacturing and automation. The research topic areas included flexible robotic control leveraging the digital twin of the manufacturing process, flexible pick and place operations and interoperability between robotic and manufacturing systems. These projects were funded by the Advanced Robotics in Manufacturing (ARM) Institute, which is DoD sponsored public-private partnership aimed at improving the adoption of robotics in manufacturing.  
 
Dr. Tamaskar received his BTech from IIT Bombay in 2005 and completed his MS and Ph.D. in Aeronautics & Astronautics from Purdue University in 2011 and 2014 respectively. After his Ph.D., he worked as a Technical Specialist in Advanced Controls Research Group at Cummins Inc. where he developed algorithms for state estimation and utilized model predictive techniques for internal combustion engines. His research led to significant improvements in engine fuel efficiency and reduction in emissions and the work is currently being deployed in production engines and has been awarded several patents. He has received several patents and awards for his research such as the Boeing Excellence Award for outstanding research. He also founded and led the development of the first student satellite of IIT Bombay, Pratham, which was launched by Indian Space Research Organization in September 2016.
 
At Plaksha, Dr. Tamaskar wants to pursue industry-focused research in Multi-Agent Robotic Path Planning and Control and Flexible Robotic Manipulation with the long-term vision of improving the adoption of robotics in India. While countries like China and South Korea have heavily invested in robotics and automation, India is far behind. India’s robot density is only 4 industrial robots per ten thousand employees, far below China (732)/South Korea (2589). Some of the challenges associated with automation and robotics for medium and small industries are lack of flexible technologies, high acquisition and sustainment cost, dearth of technical support, interoperability with legacy automation equipment, and paucity of indigenous solutions and trained workforce. He is actively seeking partnership opportunities with like-minded individuals in pursuit of this long-term vision and help accelerate the adoption of robotics and automation.",Dr. Shashank Tamaskar
Computer Networks & Queueing Systems,"Modeling, Simulation and Analysis of Communication Networks,Performance of WDM Systems,ATM Networks,Queuing Networks,Network Applications,Multiple Access Schemes,Mobile Satellite Systems,Communication & Queueing Related Software Development","Dr. Bose has earlier served as Professor of Electrical Engineering at IIT Kanpur, and more recently at IIT Guwahati. Dr. Bose has also earlier served as the Dean of Alumni Affairs & External Relations at IIT Guwahati, Associate Professor and Senior Fellow at NTU Singapore, Technical Corporate R&D Staff Member at General Electric, and has been a visiting faculty at the University of Adelaide, Queensland University of Technology, University of Pretoria and Royal Melbourne Institute of Technology. His research interests lie in the fields of communication networks, network applications, and performance of WDM Systems. He holds a Ph.D. & M.S. in Electrical Engineering, from Stony Brook, USA, and completed his B.Tech, from IIT Kanpur. Professor Bose is a highly distinguished academician and is a Senior Member of IEEE, a Member of Sigma Xi, a Member of Eta Kappa Nu and a Fellow of IETE (India).",Dr. Sanjay Kumar Bose
Robotics and Applied Machine Learning,"Robotics for Marine and Agriculture,Path Planning,Reinforcement Learning,Adaptive Sampling for Environmental Monitoring","Dr. Sandeep Manjanna is a founding faculty at Plaksha University. His research is in applied machine learning and robotics. Before this, he was a James McDonnell Postdoctoral Fellow at GRASP Labs in Computer and Information Science at University of Pennsylvania, Philadelphia, PA, USA. His research interests include robotic active sampling, multi-robot coordination, robotic sensor networks, reinforcement learning, and machine learning.

Dr. Manjanna received his MSc and PhD from McGill University advised by Prof. Gregory Dudek. His doctoral research focuses on designing algorithms for autonomous vehicles to sample, understand, and map challenging environments. Dr Manjanna’s PhD thesis was awarded CIPPRS John Barron Dissertation Award in Robotics (2021) for its impact in the field of Robotics in Canada.
",Dr. Sandeep Manjanna
"Bioenergy, Computational Bioengineering","Algal Biotechnology,Lignocellulosic Biofuels,Sustainable Biofactories,Computational Multiscale Bioengineering","Dr. Saikat Chakraborty is Professor of Biological Systems Engineering, and Faculty Advisor for Global Engagements (USA), at Plaksha University. His research aims to create biofactories that produce bioenergy and high-value biomolecules from algal and lignocellulosic biomass for a sustainable tomorrow on this climate-altered planet, and to construct digital twins of human physiological systems for computational bioengineering of multiscale diseases.
His PhD in the Department of Chemical and Biomolecular Engineering at University of Houston involved developing a new spatial averaging technique by employing the Liapunov-Schmidt method of the classical bifurcation theory, while his post-doctoral research at University of Texas Medical School was focused on computational multiscale modelling of the human lungs and pulmonary disorders. His research at IIT Kharagpur – where, until recently, he was an Associate Professor of Chemical Engineering, and the principal investigator of the DBT-Pan IIT Center for Bioenergy, and the PK Sinha Center for Bioenergy and Renewables – not only explored computational multiscale modelling of biological systems, but also led to experimental innovations of rapid cost-effective lignocellulosic and algal biofuel processes, on which he has authored five patents and fifty high-impact publications with an h-index of 20, and has supervised six doctoral dissertations.
Prof. Chakraborty has received the Sigma Xi Research Achievement Award from the University of Houston, the Young Engineers Award from The Institute of Engineers (India), and was nominated for the Man Asian Literary Prize. He is an honorary member of the European Federation of Chemical Engineering (Sustainability Section). His literary fiction and essays have appeared in Asia Literary Review, Tablet, Northeast Review, and Outlook India.",Dr. Saikat Chakraborty
"MEMS Technology, Mechanics and Mechanobiology","Microelectromechanical Systems,Nanoelectromechanical Systems,Vibroacoustics,Bioacoustics,Mechano-biology,Computational mechanic","Dr. Pratap is the Founding Vice Chancellor of Plaksha University. He was till recently the Deputy Director of Indian Institute of Science, Bangalore, Founding Chairperson of the Centre for Nano Science and Engineering (CeNSE) and a Professor in the Centre, as well as of Mechanical Engineering at IISc, Bangalore. 

A pioneer in the field of Micro and Nano-Electro-Mechanical Systems, Dr. Pratap has been associated with the Indian Institute of Science (IISc), Bangalore for almost 25 years (1996- 2021) and is credited for establishing the globally recognized Centre for Nano Science and Engineering at IISc. Dr. Pratap was also an invited professor at EPFL, Lausanne, Switzerland in 2004-05. Prior to joining IISc in 1996, he taught at the Sibley School of Mechanical and Aerospace Engineering, Cornell University, for 2.5 years. Dr. Pratap’s research areas include microelectromechanical systems (MEMS), sensor technology, computational mechanics, and mechanobiology. He headed India's first research lab in the field of microelectromechanical systems, the CranesSci MEMS Lab, at the IISc, Bangalore. He is an elected Fellow of the National Academy of Engineering and National Academy of Science.

An avid writer, Dr. Pratap’s book on MATLAB ‘Getting Started with MATLAB: A Quick Introduction for Scientists and Engineers’ is popular among engineering students around the globe. He is also an Associate Editor of the IEEE Journal of Microelectromechanical Systems and a member of the Editorial Board of the Journal of Micromechanics and Microengineering. He has published approximately 250 papers in peer-reviewed journals and conference proceedings. He is also an author on 17 patents. Dr. Pratap holds a B.Tech (Hons) degree from IIT Kharagpur, M.S from the University of Arizona and Ph.D. from Cornell University.
",Dr. Rudra Pratap
"Engineering Education, Tissue Engineering, Drug Delivery","Engineering education,Soft tissue biograft design,Drug Delivery,Biomaterials,Regenerative medicine","Prior to joining Plaksha, Dr. Joshi, Ph.D. was an Assistant Professor in the Department of Biomedical Engineering at the University of California, Davis, focusing on engineering education research and instructional innovation in biomedical engineering. Before joining UC Davis in 2018, she was a postdoctoral fellow in the Weldon School of Biomedical Engineering, Purdue University, working on multiple educational projects in enhancing teaching, learning, outreach, and diversity of engineers. Her current research focuses on approaching challenges in teaching engineering through the lens of design thinking.

Previously, Dr. Joshi contributed to instructional innovation in biomedical engineering at Purdue and worked on an National Science Foundation funded grant for studying the professional formation of engineers and enhancing diversity and inclusion within Purdue. She has been involved in educational entrepreneurship projects and making engineering accessible to underrepresented high school students in India and in the United States. 

Dr. Joshi received a BS in biotechnology engineering from Shivaji University, India, in 2009, and MS in biomedical engineering from Vanderbilt University in 2011, where she worked on creating smart microspheres responsive to temperature, pH, and Reactive Oxygen Species (ROS) for therapeutic drug delivery applications. She received her PhD in biomedical engineering from Purdue University in 2016, where she created designer collagen biografts for soft tissue biograft and drug delivery applications with Prof. Sherry Voytik-Harbin. Dr. Joshi has received several scholarships and awards for thought leadership, entrepreneurship, and community engagement, including the Ross Fellowship for outstanding PhD applicants, and the Burton D. Morgan Fellowship for entrepreneurial students at Purdue. She was honored by Dr. APJ Abdul Kalam, the late president of India, for her invention of “low calorie biscuits from banana peel pulp” and for her STEM popularization efforts. She authored a book in Marathi, Bhartiya Balvaidnyanik achi Garudzep, summarizing her life experiences in inspiring Indian students towards STEM pursuits, which won a literary award from the State Government of Maharashtra in 2008
",Dr. Rucha Joshi
Water Technology,"Wastewater treatment,Wastewater effluent polishing,Reversible adsorption,Nutrient recovery from wastewater,Circular economy in water sector","Dr. Prashanth Suresh Kumar is passionate about reimagining higher education and research in India. He had a decade long stint in Europe before joining Plaksha. He did his PhD from the Delft University of technology in the Netherlands, in the field of water technology & wastewater treatment. His PhD project was part of a very translational research atmosphere.  The technology developed during his research was successfully piloted in Sweden and Canada to combat the challenge of harmful algae blooms. Post his PhD, he was involved in EU projects related to water technology and in science projects with high school students in the Netherlands, an activity he thoroughly enjoyed. 
At Plaksha, Prashanth is keen to innovate on the teaching and research aspects involved in the technology education space. He likes to experiment with approaches like teaching through storytelling, flipped classrooms and project-based learning. In terms of research, his focus is to get active engagement of industries and academia to lead to translational research projects. He is leading the initiative for Plaksha’s Centre for Water Security, a research Centre aimed to solve the grand challenges in the water sector in India. 
Besides academia, Prashanth likes to actively engage with students in extracurricular activities like sports and music. He has travelled to 50 countries so far, and is ever eager to share and learn more about different cultures. He especially enjoys interacting with students regarding fitness and endurance, and is always open for an informal conversation on just about anything related to student life.",Dr. Prashanth Suresh Kumar
"Applied Microeconomics, Development Economics, Personnel Economics, Experimental Economics.","Applied Microeconomics, Development Economics, Personnel Economics, Experimental Economics.,Randomized Controlled Experiments,Child Undernutrition,Incentives in the Workplace,Marketing optimization,Civil wars and Terrorism,Discrimination","Dr. Prakarsh Singh is Chair Professor of Economics at Plaksha University. He was a science leader and senior economist at Amazon with work spanning subscription modelling, global talent management and streaming businesses to develop strategic insights in competition, pricing and marketing. He has hands-on experience building models employing econometrics, machine learning and data science.   

Dr. Singh has 21 publications in peer-reviewed economics journals with 400+ citations. His publications in top-ranked field journals include Journal of Development Economics, Journal of Health Economics, European Economic Review, Economics of Education Review, Journal of Economic Behavior & Organization, Journal of Conflict Resolution among many others, with a Grand Challenges Explorations Grant awarded by the Bill & Melinda Gates Foundation, state governments across India, and grants from the World Bank, United Nations and Fordham University. His research work on Incentives for Child caregivers to reduce Malnutrition has been awarded AAEA's Quality of Research Discovery and Best Paper Awards. He was the main Organizer of the Inaugural Liberal Arts Colleges Development Economics Conference (LAC-DEV) in 2013 and Co-organizer, 2014-2017. The annual conference showcases the best research in Development Economics at leading Liberal Arts Colleges. 

Dr. Singh has 12+ years of work experience in academia and industry with invited presentations at 80+ leading global academic and policy institutions. Within Amazon, Dr. Singh was a recognized Bar Raiser with an experience of leading 150+ tech hiring loops and has led research projects and teams in Prime Science, Global Talent Management and Prime Video. Prior to Amazon, he was a professor at Amherst College in Massachusetts, the leading liberal arts college in the US with visiting positions at Swarthmore College, University of Pennsylvania and University of Navarra. He completed his Ph.D., Master of Research and Bachelor of Science in Economics from the London School of Economics. 
",Dr. Prakarsh Singh
Physics,"Physics,Condensed matter,Mathematical models of learning and decision making","Broadly, Nitin's research interests lie at the intersection of physics, behavioral science and applied math. At Plaksha, he is working on (i) developing practical solutions for mental health care using a combination of analytical methods, technology and field work, and (ii) mathematical models of choice in decision making.",Dr. Nitin Upadhyaya
"Fungal Biocontrol Agents, Soil Fungal Microbiome","Sustainable agriculture, Responsible research and innovation, Pedagogy innovation","Dr. Navjot Kaur is an Assistant Professor of Biosystems Engineering at Plaksha University, India. Academically trained as a chemical engineer, she fell in love with biology during her graduate studies.  She earned her PhD from the Indian Institute of Science (IISc), Bangalore, where she worked on developing point-of-care molecular diagnostics. Before joining Plaksha University as a founding faculty, she was a research scientist at a giant generic drug development company in India, Dr Reddy’s Laboratories.

As a founding faculty she is actively involved in the outreach and admissions process, culture building and Young Technology Scholars (YTS) program at Plaksha University. She is a systems thinker, passionate about sustainable food production and consumption. Her group works on developing holistic solutions which incorporate technology development, responsible innovation, and stakeholder engagement to tackle the grand challenge of food security. She teaches courses on Nature's Machines, Molecular Biology and Nucleic Acid and Protein Biosensors.",Dr. Navjot Kaur
"Statistical Signal Processing, Reliability","Statistical Signal Processing,Reliability,Survival Analysis and Competing Risk models,Direction of Arrival Estimation,Sampling,Multivariate Analysis","Dr. Kannan joins Plaksha as Professor and Director of the Data Science Institute. She most recently served as the Executive Director of the Indo-U.S. Science and Technology Forum (IUSSTF), a binational organization established by the Indian and U.S. governments to catalyze collaborations between the S&T communities. At IUSSTF, she helped to develop new initiatives to support R&D collaborations in critical areas such as COVID-19 and Clean Energy.

Dr. Kannan brings leadership experience in both academia and government, an understanding of the critical role that science and technology play in this global inter-connected society, and a deep commitment to education and workforce development.

Dr. Kannan spent over 20 years in academia, first as a faculty member and then as Chair, Department of Management Science and Statistics at the University of Texas at San Antonio (UTSA). During her tenure at UTSA, she helped to develop new undergraduate and graduate programs and led a university-wide initiative on quantitative literacy. Dr. Kannan served as Program Director at the U.S. National Science Foundation (NSF) where her responsibilities included core disciplinary research, mathematical sciences research institutes, and workforce development programs in the Division of Mathematical Sciences as well as a number of cross-directorate and cross-agency activities. She was co-chair for several Data Science related activities in support of Harnessing the Data Revolution, one of NSF’s 10 Big Ideas, and created new programs to support data science foundations as well as data-intensive research in different science and engineering domains. Dr. Kannan also helped to create partnerships with the National Institutes of Health (NIH) to support collaborative efforts in biomedical data science.

Dr. Kannan received her B. Sc. in Statistics from Presidency College, Chennai and an M. Sc. degree in Statistics from the University of Madras before joining the Indian Statistical Institute as a Junior Research Fellow. She received an M.S. in Mathematics from the University of Pittsburgh, and a Ph.D. in Statistics from The Pennsylvania State University under the supervision of Professor C. Radhakrishna Rao. She is a Fellow of the American Association for the Advancement of Science (AAAS), Fellow of the American Statistical Association, and an Elected Member of the International Statistical Institute.",Dr. Nandini Kannan
